date,category,amount,comment
2018-01-11,Salary,1010.48,
2018-01-15,Food,30,
2018-01-15,Housing,327.5,
2018-01-15,Leisure,4,protect garmin
2018-01-15,Leisure,8,madrid
2018-01-15,Utilities,11,luce
2018-01-21,Food,50,
2018-01-21,Food,10,Pirelli
2018-01-21,Leisure,215,Amazon Ukulele
2018-01-21,Leisure,9,Curso Ukulele
2018-01-21,Leisure,40,Bose
2018-01-21,Leisure,20,
2018-01-21,Transport,10,sergio
2018-01-29,Food,15,
2018-01-29,Food,12,
2018-01-29,Leisure,15,reloj
2018-02-01,Food,10,Cammafa
2018-02-01,Food,5,Pirelli
2018-02-01,Food,15,
2018-02-01,Housing,327.5,
2018-02-01,Leisure,7,lapicero moleskine
2018-02-01,Leisure,9,Curso Teoria Musical
2018-02-01,Leisure,9,
2018-02-01,Leisure,7,
2018-02-01,Transport,10,sergio
2018-02-01,Utilities,30,Vodafone
2018-02-01,Utilities,119,riscaldamento
2018-02-01,Utilities,20,wifi
2018-02-01,Utilities,10,
2018-02-13,Food,16,
2018-02-13,Food,18,
2018-02-13,Food,6,
2018-02-13,Food,15,
2018-02-13,Food,6,
2018-02-13,Health,150,
2018-02-13,Leisure,5,
2018-02-13,Leisure,20,
2018-02-13,Leisure,40,Genova - hotel
2018-02-13,Leisure,10,
2018-02-13,Salary,850,
2018-02-13,Transport,6.5,ATM
2018-02-17,Food,5,pirelli
2018-02-17,Food,23.5,mercado
2018-02-17,Transport,5,sergio
2018-02-17,Utilities,6,vodafone
2018-02-19,Leisure,25,genova - trenes 
2018-02-19,Leisure,83,genova - gastos
2018-02-23,Food,47.5,
2018-02-23,Food,5,gelato
2018-02-23,Food,7,antojos
2018-02-23,Food,10,pirelli
2018-02-23,Utilities,46,
2018-02-23,Utilities,10,
2018-02-23,Utilities,20,wifi
2018-02-28,Food,12,camilo
2018-02-28,Food,2,
2018-02-28,Transport,15,sergio
2018-03-11,Food,15,ajustes y comunes
2018-03-11,Food,8,
2018-03-11,Food,23,
2018-03-11,Housing,327.5,
2018-03-11,Salary,834.57,
2018-03-11,Transport,6.5,ATM
2018-03-26,Food,11,pirelli
2018-03-26,Food,13,poormanger
2018-03-26,Food,8,pizza
2018-03-26,Food,26,
2018-03-26,Food,19,
2018-03-26,Leisure,8,
2018-03-26,Leisure,25,Trenes milan
2018-03-26,Transport,15,luca
2018-03-26,Transport,28,gtt luca
2018-03-26,Transport,13,ATM
2018-03-26,Utilities,10,vodafone
2018-03-31,Food,15,pizza
2018-03-31,Leisure,11,libro gab
2018-03-31,Leisure,50,comida lecco
2018-03-31,Leisure,160,
2018-04-05,Food,35,
2018-04-05,Food,10,santi giraldi
2018-04-08,Food,9,
2018-04-08,Housing,327.5,
2018-04-08,Leisure,15,
2018-04-08,Utilities,14,gas
2018-04-10,Housing,613.43,
2018-04-10,Salary,850,
2018-04-17,Food,40,
2018-04-17,Food,30,Sergio milan
2018-04-17,Food,10,
2018-04-17,Leisure,77,ikea
2018-04-17,Leisure,25,pam
2018-04-17,Transport,6.5,ATM
2018-04-17,Transport,35,ATM
2018-04-17,Utilities,24,TIM
2018-04-17,Utilities,10,
2018-04-17,Utilities,20,wifi
2018-04-30,Food,145,
2018-04-30,Food,15,
2018-04-30,Leisure,35,proteccion celular
2018-04-30,Leisure,20,
2018-04-30,Leisure,50,torino
2018-04-30,Leisure,120,toscana
2018-04-30,Leisure,90,venezia
2018-04-30,Salary,761.22,
2018-05-03,Food,30,
2018-05-03,Leisure,25,chicuela
2018-05-03,Transport,22,ATM
2018-05-03,Utilities,5,
2018-05-03,Utilities,33.3,Basuras Re Umberto
2018-05-10,Food,16,
2018-05-10,Housing,731.25,
2018-05-10,Leisure,80,Maleta de mano 
2018-05-10,Leisure,40,Headspace
2018-05-10,Leisure,8,tiger
2018-05-10,Transport,36,Multa
2018-05-10,Transport,4,ATM
2018-05-12,Utilities,15,wifi
2018-05-13,Food,9,
2018-05-13,Leisure,9,
2018-05-13,Leisure,10,torino
2018-05-13,Leisure,20,inter sassuolo
2018-05-13,Utilities,21,
2018-05-25,Food,37,viernes en la noche aseo
2018-05-25,Food,12,alemania
2018-05-25,Food,3,
2018-05-25,Food,29.5,torino
2018-05-25,Food,38,
2018-05-25,Food,6,
2018-05-25,Food,20,?
2018-05-25,Leisure,25,alemania
2018-05-25,Leisure,42,trenes torino
2018-05-25,Leisure,65,colombia egipto
2018-05-25,Utilities,44.5,gas torino
2018-05-31,Salary,1586.49,Siemens Mayo
2018-06-01,Housing,731.25,
2018-06-01,Utilities,35.2,wifi
2018-06-03,Food,67,
2018-06-03,Food,25,arepas
2018-06-03,Food,12,ferias rho
2018-06-03,Food,5,
2018-06-03,Leisure,5,
2018-06-03,Leisure,25,colombia egipto
2018-06-03,Leisure,10,chicuela
2018-06-03,Transport,22,ATM
2018-06-03,Transport,5,rho
2018-06-12,Food,12,spontini
2018-06-12,Food,5,javier
2018-06-12,Food,14,gelato javier
2018-06-12,Leisure,99,Patineta
2018-06-12,Leisure,30,ventilador
2018-06-12,Salary,169.51,Bonus Pirelli
2018-06-12,Utilities,30,
2018-06-22,Food,23,
2018-06-22,Food,21,Mercado
2018-06-22,Food,35,Aseo personal + ajustes
2018-06-22,Leisure,254.3,"Amazon: aux, pantalla, basuras, boiler, archivador"
2018-06-22,Leisure,67,Escritorio
2018-06-22,Leisure,20,Trenes chicuela
2018-06-22,Transport,5,sesto 1 maggio
2018-06-30,Food,18,
2018-06-30,Food,44,Mariajo
2018-06-30,Food,4.5,
2018-06-30,Leisure,704,Bici Nueva
2018-06-30,Leisure,37,Mariajo
2018-06-30,Leisure,10,Chiuela
2018-06-30,Salary,1816.1,Siemens Junio
2018-07-01,Food,56.3,
2018-07-01,Transport,22,ATM
2018-07-01,Utilities,35.2,wifi
2018-07-13,Food,5,
2018-07-13,Food,5,
2018-07-13,Food,9,
2018-07-13,Food,20,Poke
2018-07-13,Housing,725.4,
2018-07-13,Leisure,14,
2018-07-13,Leisure,5,
2018-07-13,Leisure,30,jarra
2018-07-13,Leisure,5,Sele
2018-07-13,Leisure,10,parque
2018-07-13,Leisure,5,
2018-07-13,Utilities,68.7,Luz + Voltura
2018-07-22,Food,5,app
2018-07-22,Food,8,gelato
2018-07-22,Food,9,frutas
2018-07-22,Food,12,varios
2018-07-22,Food,14,arepas
2018-07-22,Leisure,21,regalo chicu
2018-07-22,Leisure,25,Trenes susi
2018-07-27,Food,39,papas
2018-07-27,Food,6,
2018-07-27,Leisure,67,ps games
2018-07-27,Utilities,33.42,Ajuste Caparra
2018-07-30,Food,25,piadineria
2018-07-30,Food,7,carne
2018-07-30,Food,20,poke
2018-07-31,Food,5,mixto
2018-07-31,Leisure,225,celular z2
2018-07-31,Leisure,19.93,accesorios cel
2018-07-31,Leisure,13,jarra y varios
2018-07-31,Salary,1583.67,Siemens Julio
2018-08-01,Food,5,siemens
2018-08-01,Food,5,gelato
2018-08-01,Food,7,
2018-08-01,Food,5,
2018-08-01,Food,44,Aperitivo mariajo
2018-08-01,Food,3,
2018-08-01,Housing,725.4,
2018-08-01,Leisure,64,almuerzo papas
2018-08-01,Transport,22,ATM
2018-08-01,Transport,1.5,ATM
2018-08-01,Utilities,15,
2018-08-17,Leisure,150,ps4 
2018-08-17,Leisure,20,ps acc
2018-08-17,Leisure,20,
2018-08-17,Leisure,10,gelato
2018-08-17,Leisure,44,gaby
2018-08-20,Salary,1578,
2018-08-22,Food,11,carbonara torino
2018-08-22,Food,7,kebab
2018-08-22,Food,4,
2018-08-22,Food,5,siemens
2018-08-22,Leisure,60,ps plus
2018-08-22,Leisure,15,ps acc
2018-08-23,Food,3,
2018-08-23,Food,19,auchan
2018-08-23,Leisure,14,ps games
2018-08-27,Food,14,sushi
2018-08-27,Food,5,pizza
2018-08-27,Leisure,28,torino
2018-08-27,Leisure,5,torta de atun torino
2018-08-27,Utilities,37.7,wifi
2018-08-28,Utilities,54.39,Luz (CON canone RAI)
2018-09-01,Transport,22,ATM
2018-09-01,Utilities,15,
2018-09-03,Food,16,hamburguesa
2018-09-03,Food,7,pastas turin
2018-09-03,Food,2.5,magnum
2018-09-03,Food,6,Ajuste Caparra
2018-09-03,Food,8,spontini
2018-09-03,Leisure,28,trenes torino
2018-09-05,Food,4,siemenns
2018-09-05,Food,3,
2018-09-05,Housing,724,
2018-09-12,Food,6,
2018-09-12,Food,30,
2018-09-12,Food,55,lidl
2018-09-12,Food,5,siemens
2018-09-12,Health,41.65,examenes de sangre
2018-09-12,Leisure,13,ps games
2018-09-12,Leisure,20,ps games
2018-09-12,Leisure,15,cobija
2018-09-12,Leisure,33,five guys
2018-09-12,Leisure,11,vodka
2018-09-12,Leisure,6,
2018-09-17,Food,2,siemens
2018-09-17,Leisure,40,Grados gab - mouse
